City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Yajalon,MX,2022-10-14 14:08:48,17.2333,-92.3333,71.62,87,81,2.44
221,Cheney,US,2022-10-14 14:04:38,47.4874,-117.5758,46.42,79,75,6.91
222,Ashqelon,IL,2022-10-14 14:08:49,31.6693,34.5715,79.79,57,1,10.74
223,Jinchang,CN,2022-10-14 14:08:50,38.4953,102.1739,53.26,26,81,3.67
224,Tocopilla,CL,2022-10-14 14:08:50,-22.092,-70.1979,63.95,62,1,4.68
225,Cabo San Lucas,MX,2022-10-14 14:06:44,22.8909,-109.9124,75.51,72,12,4.0
226,Horsham,GB,2022-10-14 14:08:51,51.064,-0.3272,61.74,87,40,6.91
227,Mastic Beach,US,2022-10-14 14:09:52,40.7668,-72.8521,61.99,91,9,1.99
228,Yendi,GH,2022-10-14 14:09:52,9.4427,-0.0099,85.05,61,99,4.68
229,Beringovskiy,RU,2022-10-14 14:09:53,63.05,179.3167,28.4,70,96,1.59
230,Deputatskiy,RU,2022-10-14 14:09:53,69.3,139.9,-3.5,96,98,6.22
231,Caravelas,BR,2022-10-14 14:09:54,-17.7125,-39.2481,80.98,62,60,9.82
232,Kuito,AO,2022-10-14 14:09:54,-12.3833,16.9333,83.57,24,76,8.5
233,Salalah,OM,2022-10-14 13:59:59,17.0151,54.0924,78.96,65,58,6.2
234,Clyde River,CA,2022-10-14 14:09:55,70.4692,-68.5914,19.24,84,64,2.35
235,Yarmouth,US,2022-10-14 14:09:56,41.7057,-70.2286,68.14,95,100,13.8
236,Kadoma,JP,2022-10-14 14:09:56,34.7333,135.5833,71.58,54,2,5.37
237,Eravur,LK,2022-10-14 14:09:57,7.7733,81.6095,78.12,86,92,5.68
238,Gamboma,CG,2022-10-14 14:09:57,-1.8764,15.8644,86.13,60,94,2.06
239,Thompson,CA,2022-10-14 14:09:58,55.7435,-97.8558,33.96,100,100,6.91
240,Eyl,SO,2022-10-14 14:09:58,7.9803,49.8164,81.18,70,92,20.49
241,Pinheiro Machado,BR,2022-10-14 14:09:59,-31.5783,-53.3811,55.06,72,0,11.61
242,Anshan,CN,2022-10-14 14:09:59,41.1236,122.99,54.23,75,0,6.4
243,Portsmouth,GB,2022-10-14 14:10:00,50.799,-1.0913,61.14,91,100,8.01
244,Masvingo,ZW,2022-10-14 14:10:00,-20.0637,30.8277,91.18,12,25,11.32
245,Cidreira,BR,2022-10-14 14:10:01,-30.1811,-50.2056,63.45,70,100,13.13
246,Coquimbo,CL,2022-10-14 14:10:04,-29.9533,-71.3436,56.93,82,20,11.5
247,Grand Gaube,MU,2022-10-14 14:10:07,-20.0064,57.6608,73.38,62,1,8.99
248,Vila Franca Do Campo,PT,2022-10-14 14:10:11,37.7167,-25.4333,73.81,72,87,9.62
249,Dapaong,TG,2022-10-14 14:10:13,10.8639,0.205,83.08,62,100,6.44
250,Ravar,IR,2022-10-14 14:10:14,31.2656,56.8055,77.43,12,11,3.31
251,Shache,CN,2022-10-14 14:10:15,38.4167,77.2406,62.89,13,0,6.46
252,Denizli,TR,2022-10-14 14:10:15,37.8402,29.0698,75.36,41,84,5.82
253,Thinadhoo,MV,2022-10-14 14:10:16,0.5333,72.9333,82.09,73,90,17.52
254,Hofn,IS,2022-10-14 14:10:17,64.2539,-15.2082,44.62,53,20,13.8
255,Whitehorse,CA,2022-10-14 14:10:19,60.7161,-135.0538,26.31,69,88,4.0
256,Oxelosund,SE,2022-10-14 14:10:20,58.6706,17.1015,53.98,76,0,8.05
257,Merrill,US,2022-10-14 14:10:22,45.1805,-89.6835,33.98,93,100,4.61
258,Mehamn,NO,2022-10-14 14:10:22,71.0357,27.8492,37.35,87,20,3.44
259,Marzuq,YE,2022-10-14 14:10:23,14.4,46.4667,82.15,26,7,3.4
260,Postojna,SI,2022-10-14 14:10:24,45.7769,14.2167,67.42,66,54,6.85
261,Storforshei,NO,2022-10-14 14:10:25,66.4043,14.5233,46.18,56,0,13.8
262,Alyangula,AU,2022-10-14 14:10:26,-13.8483,136.4192,80.73,80,8,10.31
263,Santa Maria Del Oro,MX,2022-10-14 14:10:27,25.9333,-105.3667,63.43,60,1,2.42
264,Vangaindrano,MG,2022-10-14 14:10:27,-23.35,47.6,74.89,65,55,10.78
265,Matara,LK,2022-10-14 14:10:28,5.9485,80.5353,77.29,90,100,9.8
266,Akhnur,IN,2022-10-14 14:10:29,32.8667,74.7333,78.17,47,0,3.02
267,Kahului,US,2022-10-14 14:10:30,20.8947,-156.47,76.84,78,0,5.75
268,Prainha,BR,2022-10-14 14:10:31,-1.8,-53.48,89.92,52,94,5.95
269,San Andres,CO,2022-10-14 14:10:31,12.5847,-81.7006,86.02,74,40,6.91
270,Mecca,SA,2022-10-14 14:08:35,21.4267,39.8261,90.73,38,45,16.04
271,Souillac,MU,2022-10-14 14:10:32,-20.5167,57.5167,71.49,67,1,14.14
