City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Ndele,CF,8.4109,20.6473,77.63,74,85,2.66,overcast clouds
240,Mahur,IN,25.1667,93.1167,65.28,94,9,2.35,clear sky
241,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,32,20,10.36,few clouds
242,Bairiki,KI,1.3292,172.9752,80.6,83,40,10.36,scattered clouds
243,Codrington,AU,-38.2667,141.9667,44.29,95,27,5.5,scattered clouds
244,San Cristobal,VE,7.7669,-72.225,80.78,48,98,6.24,overcast clouds
245,Joshimath,IN,30.5667,79.5667,56.35,50,9,6.26,clear sky
246,Novobirilyussy,RU,56.9514,90.6661,30.29,85,75,5.79,broken clouds
247,Saint Anthony,US,45.0205,-93.218,52.48,55,75,16.11,broken clouds
248,Port Elizabeth,ZA,-33.918,25.5701,64.09,81,100,14.97,overcast clouds
249,Almenara,BR,-16.1836,-40.6944,86.45,38,68,8.1,broken clouds
250,Florianopolis,BR,-27.6146,-48.5012,68.41,93,75,14.97,broken clouds
251,Moose Jaw,CA,50.4001,-105.5344,44.94,60,98,18.28,overcast clouds
252,Sitka,US,57.0531,-135.33,58.89,82,100,13.8,overcast clouds
253,Mareeba,AU,-17.0,145.4333,70.52,89,18,3.06,few clouds
254,Asfi,MA,32.2994,-9.2372,74.64,68,37,9.82,scattered clouds
255,Fort Smith,US,35.3859,-94.3986,84.34,45,0,10.36,clear sky
256,Severo-Yeniseyskiy,RU,60.3725,93.0408,26.13,87,77,3.36,broken clouds
257,Iracoubo,GF,5.4802,-53.2011,85.42,69,17,12.8,few clouds
258,Port Alfred,ZA,-33.5906,26.891,64.18,87,100,7.0,overcast clouds
259,Palana,RU,59.1167,159.9667,30.92,82,100,6.15,light snow
260,Vila Velha,BR,-20.3297,-40.2925,80.55,75,40,11.5,scattered clouds
261,Carmen,MX,18.6333,-91.8333,84.24,79,75,9.22,broken clouds
262,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.82,76,27,14.88,scattered clouds
263,Kalmunai,LK,7.4167,81.8167,79.59,79,100,7.29,moderate rain
264,Banda Aceh,ID,5.5577,95.3222,78.42,80,100,17.0,overcast clouds
265,Hay River,CA,60.8156,-115.7999,30.18,74,100,5.75,overcast clouds
266,Cidreira,BR,-30.1811,-50.2056,63.86,78,100,16.71,overcast clouds
267,Khasan,RU,42.4308,130.6434,54.79,71,54,3.67,broken clouds
268,Verkhnevilyuysk,RU,63.4453,120.3167,22.12,93,70,5.91,broken clouds
269,Lulea,SE,65.5842,22.1547,48.27,100,75,13.8,broken clouds
270,Horuphav,DK,54.9102,9.8987,58.95,82,100,8.05,light rain
271,Constitucion,CL,-35.3333,-72.4167,65.73,49,21,11.07,few clouds
272,Mana,GF,5.6592,-53.7767,86.85,65,40,12.8,scattered clouds
273,Nalut,LY,30.3333,10.85,77.25,27,2,8.08,clear sky
274,Tiksi,RU,71.6872,128.8694,21.13,84,100,22.48,overcast clouds
275,Aklavik,CA,68.2191,-135.0107,23.0,68,20,5.75,few clouds
276,Spencer,US,43.1414,-95.1444,54.75,51,72,14.81,broken clouds
277,Yekaterinovka,RU,52.0508,44.3451,40.12,65,24,4.52,few clouds
278,Karasjok,NO,69.4719,25.5112,40.53,96,100,10.6,overcast clouds
279,Chara,RU,56.9064,118.2631,21.6,79,41,3.04,scattered clouds
280,Isangel,VU,-19.55,169.2667,69.8,68,9,6.29,clear sky
281,Samoded,RU,63.6083,40.5111,43.97,96,100,4.85,overcast clouds
282,Gwanda,ZW,-20.9333,29.0,80.65,29,31,11.41,scattered clouds
283,Buala,SB,-8.145,159.5921,79.09,74,93,3.53,overcast clouds
284,Port Augusta,AU,-32.5,137.7667,57.65,65,100,9.64,overcast clouds
285,Bowling Green,US,36.9903,-86.4436,71.55,36,0,5.75,clear sky
286,Laguna,US,38.421,-121.4238,70.93,76,0,5.75,clear sky
287,Yulara,AU,-25.2406,130.9889,70.79,40,40,11.79,scattered clouds
288,Pangody,RU,65.85,74.4859,34.05,88,84,7.83,broken clouds
289,Pevek,RU,69.7008,170.3133,15.78,94,100,5.99,light snow
290,Shenjiamen,CN,29.9576,122.298,69.21,81,97,12.66,overcast clouds
291,Rabo De Peixe,PT,37.8,-25.5833,69.31,64,40,16.11,scattered clouds
292,Guacimo,CR,10.2104,-83.6807,85.3,69,29,4.65,scattered clouds
293,Torbay,CA,47.6666,-52.7314,62.89,83,75,9.22,broken clouds
294,Abha,SA,18.2164,42.5053,62.85,72,0,6.91,clear sky
295,Nanning,CN,22.8167,108.3167,63.05,42,62,4.92,broken clouds
296,Pella,RU,59.7775,30.8181,51.85,80,100,8.43,overcast clouds
297,Sambava,MG,-14.2667,50.1667,71.01,84,56,11.07,light rain
298,Orel-Izumrud,RU,43.4583,39.9244,59.02,87,92,6.71,overcast clouds
299,Igarka,RU,67.4667,86.5833,33.04,83,100,14.56,overcast clouds
300,Lorengau,PG,-2.0226,147.2712,81.68,79,31,7.74,scattered clouds
301,Marawi,PH,7.9986,124.2928,70.79,91,100,3.65,overcast clouds
302,Manoel Urbano,BR,-8.8389,-69.2597,81.63,69,100,3.53,overcast clouds
303,Springbok,ZA,-29.6643,17.8865,61.29,53,98,15.77,overcast clouds
304,Kashira,RU,54.8444,38.1669,41.86,78,86,5.48,overcast clouds
305,Carballo,ES,43.213,-8.691,64.9,94,100,8.97,moderate rain
306,Newport Beach,US,33.6189,-117.9289,69.03,87,100,1.99,overcast clouds
307,Kuytun,RU,54.3419,101.5036,26.15,86,11,3.2,few clouds
308,Aksarka,RU,66.5606,67.7975,38.62,91,100,2.08,light rain
309,Esso,RU,55.9333,158.7,21.0,95,64,5.12,broken clouds
310,Bismil,TR,37.8486,40.6658,64.51,49,100,8.28,overcast clouds
311,Calatayud,ES,41.3535,-1.6432,76.68,26,2,10.33,clear sky
312,Faya,SA,18.3851,42.4509,68.11,55,1,4.09,clear sky
313,Torrington,US,41.8007,-73.1212,68.77,53,10,3.0,clear sky
314,Kruisfontein,ZA,-34.0033,24.7314,61.88,86,100,14.79,overcast clouds
315,Dosso,NE,13.049,3.1937,93.04,32,99,6.42,overcast clouds
316,Mumford,GH,5.2618,-0.759,78.67,83,100,13.91,light rain
317,Kasongo-Lunda,CD,-6.4667,16.8167,77.4,75,100,1.72,light rain
318,Trairi,BR,-3.2778,-39.2689,86.74,56,6,17.02,clear sky
319,Mahebourg,MU,-20.4081,57.7,71.89,68,20,6.91,few clouds
320,Mehamn,NO,71.0357,27.8492,37.35,87,17,2.3,few clouds
321,Shumikha,RU,55.2261,63.2961,46.89,73,98,5.23,overcast clouds
322,Sorong,ID,-0.8833,131.25,78.28,88,100,7.09,moderate rain
323,Sur,OM,22.5667,59.5289,81.21,40,1,6.06,clear sky
324,Caala,AO,-12.8525,15.5606,61.52,85,99,8.86,moderate rain
325,Lompoc,US,34.6391,-120.4579,65.01,94,100,3.44,overcast clouds
326,Mar Del Plata,AR,-38.0023,-57.5575,63.09,81,75,20.0,broken clouds
327,Tupik,RU,54.4253,119.9327,27.79,80,100,12.46,light snow
328,Sfantu Gheorghe,RO,45.8667,25.7833,49.93,72,31,3.33,scattered clouds
329,Katherine,AU,-14.4667,132.2667,84.52,61,76,4.61,broken clouds
330,College,US,64.8569,-147.8028,29.21,71,75,4.61,broken clouds
331,Nanakuli,US,21.3906,-158.1547,75.15,75,0,4.61,clear sky
332,Cantagallo,CO,7.376,-73.9196,84.78,59,79,0.25,broken clouds
333,Bethel,US,41.3712,-73.414,69.19,52,0,9.22,clear sky
334,Douentza,ML,14.9951,-2.9517,97.66,22,29,9.46,scattered clouds
335,Energeticheskiy,KZ,43.4278,77.0222,52.36,32,40,0.0,smoke
336,Moranbah,AU,-22.0016,148.0466,71.46,73,6,1.43,clear sky
337,Luderitz,NA,-26.6481,15.1594,74.14,36,89,8.3,overcast clouds
338,Evensk,RU,61.95,159.2333,19.53,71,94,8.68,overcast clouds
339,Bilibino,RU,68.0546,166.4372,-8.66,100,98,2.21,overcast clouds
340,Kifri,IQ,34.6959,44.9661,83.86,15,72,6.76,broken clouds
341,Turukhansk,RU,65.8167,87.9833,31.57,79,100,12.03,overcast clouds
342,Gondanglegi,ID,-7.7479,112.0132,76.39,87,93,10.0,overcast clouds
343,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,61,0,13.8,clear sky
344,Caravelas,BR,-17.7125,-39.2481,81.28,58,67,10.2,broken clouds
345,Panjab,AF,34.388,67.0233,44.38,22,0,6.02,clear sky
