City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
589,Naze,JP,77.92,broken clouds,28.3667,129.4833,Shishime Hotel
590,Kismayo,SO,77.58,broken clouds,-0.3582,42.5454,Agan-Hotel
591,Kotido,UG,81.1,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
593,Talagang,PK,76.8,clear sky,32.9297,72.4158,Sajid Iqbal Manzil
600,Kavaratti,IN,82.13,overcast clouds,10.5669,72.642,Green leaf
602,Tonantins,BR,83.93,broken clouds,-2.8731,-67.8022,Hotel Hortensias
608,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
610,Vallenar,CL,76.66,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
613,Tautira,PF,76.08,light rain,-17.7333,-149.15,Pension Oaoa
614,Jimenez,MX,81.75,broken clouds,28.3333,-105.4,El torreon
616,Sechura,PE,76.44,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
621,Buckeye,US,82.83,broken clouds,33.3703,-112.5838,Buckeye Motor Hotel
623,Alto Piquiri,BR,77.72,overcast clouds,-24.0281,-53.4406,Hotel Frison
629,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
632,Turbat,PK,81.25,clear sky,26.0023,63.044,Mubashar Quarters
635,San Policarpo,PH,79.63,few clouds,12.1791,125.5072,Agapita M. Nicart
637,Ewa Beach,US,75.4,clear sky,21.3156,-158.0072,Base Lodging
639,Samarai,PG,80.35,broken clouds,-10.6167,150.6667,Nuli Sapi
643,Sumbe,AO,76.08,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
648,San Lorenzo,PY,85.14,broken clouds,-25.3333,-57.5333,Canarias Hotel
650,Pringsewu,ID,75.43,overcast clouds,-5.3582,104.9744,Urban Style by Front One
656,Nusaybin,TR,75.09,overcast clouds,37.0778,41.2178,Aydinlar Hotel
658,Xuddur,SO,77.85,light rain,4.1213,43.8894,Banjanay Hotel
659,Winneba,GH,78.58,light rain,5.3511,-0.6231,Windy Lodge & Beach Resort
661,Buchanan,LR,78.22,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
662,Petit Goave,HT,83.17,light rain,18.4314,-72.8669,Imperial Suite International
663,Nuevo Progreso,MX,88.54,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
679,Pajapan,MX,77.16,light rain,18.25,-94.7,Hotel Del Carmen
680,Andili,PH,75.38,overcast clouds,7.462000000000001,125.9701,Tagbanakaw falls
688,Doha,QA,87.78,clear sky,25.2867,51.5333,Mövenpick Doha
690,Pointe Michel,DM,86.29,broken clouds,15.25,-61.3833,Roseau Hostel & Beach Front Property
691,Shelui,TZ,85.8,overcast clouds,-4.3667,34.2,PARIS GUEST HOUSE
694,Mabaruma,GY,85.53,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
697,Behbahan,IR,80.71,clear sky,30.5959,50.2417,فروشگاه ابوعلی
702,Sola,VU,79.39,overcast clouds,-13.8833,167.55,Leumerus Bungalows
704,Sanghar,PK,82.8,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
